id,name
1317,Auf falscher Fährte
1318,Blackrock Castle
1319,Magic Hill
1320,The Dog's Meow
1321,Catch the Match
1322,Chip-Chip Hurra
1323,Cry Havoc
1324,Café International: Das Kartenspiel
1325,Wild Pirates
1326,MacGregor
1328,Contra
1329,Hyle
1330,Savannah Café
1331,Showdown Yahtzee
1332,Ancient Empires
1333,Boom-O
1334,Entdecker: Exploring New Horizons
1335,Gnadenlos!
1336,Eden
1337,Traboulet
1338,Volldampf
1339,Dungeon!
1340,Doubloon Lagoon
1341,Crib Wars
1343,Mad Monks and Relics
1345,Genoa
1346,Crazy Race
1348,Web of Gold
1349,"Atlantic, Chicago and Pacific Rails"
1350,Das Amulett
1351,Legend of Heroes
1352,Bali
1353,Time's Up!
1354,Zaubercocktail
1355,Willy Waschbär
1356,Hexen Rennen
1357,Play To Become a Millionaire
1358,Field Command
1362,Wit's End
1364,Pillage & Plunder
1365,Olix
1367,Grand National Derby
1368,Tuf
1369,Earthdefenders
1370,The Classic Dungeon
1371,Mustangs
1372,Rise of the Luftwaffe
1373,Midway
1375,Guadalcanal
1376,Don
1377,Danger
1378,Odysseus
1379,Ebbe & Flut
1380,Jockey
1381,Pokémon Master Trainer
1382,Winner's Circle
1383,Ab in den Pool!
1384,Abenteuer im Wichtelwald
1385,Aber Hallo!
1386,Alarm
1387,Alaska
1388,Alles klar?
1389,Alles oder Nichts
1390,Auf Kurs
1391,Aura Poku
1392,Banking
1393,Basta!
1396,Ben Hur
1397,Crash Pilot
1398,Chicago
1400,Columbus
1401,Crash!
1402,Neolithibum
1403,Turn the Tide
1404,Strand-Cup
1405,Adventurer
1406,Monopoly
1407,Alcatraz
1408,Gammarauders
1409,Spawn: The Game
1410,Trouble
1411,"Fugger, Welser, Medici"
1412,Trendy
1413,Attack Sub
1414,Decathlon
1415,Rat Splatter
1416,Meridian
1417,Alibi
1419,Pylos
1420,Monopoly Express
1421,Lost Worlds
1422,Wadjet
1423,Storm over Arnhem
1424,Book of Lists Game
1425,Raid on St. Nazaire
1426,Lord of the Rings: The Search
1427,GRO: Battle for the Petri Dish
1428,Image
1430,Caesar at Alesia
1431,War at Sea (second edition)
1432,Breakout!
1433,Der grosse Gallier
1434,Dealer's Choice
1435,4000 A.D.
1436,Billionaire
1437,Trust Me
1438,Scre-e-ech!
1439,Penguin Pile-Up
1440,Dinoquest
1441,Turtles
1442,Victory in the Pacific
1443,Alpha Blitz
1444,SPQR
1445,Canasta Caliente
1446,Cheater
1447,1841
1448,Freight Train
1449,Kings Cribbage
1450,Jagd der Vampire
1451,Dimenticato
1452,Mhing
1453,Pain Doctors: The Game of Recreational Surgery
1454,RYB
1455,Rocketball
1456,"Run, Hamster, Run!"
1458,Peep War
1459,Sharp Shooters
1460,Earthquake
1462,Crazy Rummy
1463,Girl Genius: The Works
1464,Duo
1465,Wizard
1466,Rebel Rails
1467,Abduction
1468,Anybody's Guess
1470,Venezia
1471,Gangsters
1472,Five Crowns
1473,Barbarians
1474,Ohio
1475,Careers
1476,Entrepreneur
1477,Days of Decision II
1478,VI Caesars
1479,Towers of Wyoming
1480,Imperator
1481,Blind Ignorance
1482,Ubi
1484,Clue: The Great Museum Caper
1485,Domingo
1486,Plunder
1488,Trailer Park Gods
1489,Deadwood Studios USA
1490,The Cigar Game
1491,Outpost
1492,Manic Minelayers
1493,1853
1495,Stash
1496,Imperium Romanum II
1497,Dino Hunt
1498,Paydirt
1499,World in Flames
1500,Zocken
1501,Masterpiece
1502,Hotel Tycoon
1503,Mid-East Peace
1504,Bakschisch
1506,Conquistador
1507,Isis
1508,Broadside
1509,Dogfight
1510,Class Struggle
1511,Outdoor Survival
1512,Hexagony
1513,The Republic of Rome
1514,Yali
1515,Upwords
1516,USAC Auto Racing
1517,Ani-Mayhem
1518,Executive Decision
1519,Kult
1520,Monad
1522,Get Out
1523,Pharao
1524,Fight City
1525,Dixie: Bull Run
1527,Bitin' Off Hedz
1528,Chief Herman's Holiday Fun Pack
1529,Ramses
1530,Dark Age: Feudal Lords
